company,industry,leadership,communication,logical,creativity,execution,url,strength
岡山日野自動車,自動車,4,5,3,2,4,https://www.okayama-hino.co.jp/,"トラックやバスの販売から整備・アフターサービスまで一貫して提供し、物流や地域交通を支えています。"
ビザビ,Web制作,3,5,3,5,4,https://www.vis-a-vis.co.jp/,"Web制作や広告、ブランディングを通じて企業の課題解決を支援し、企画力とデザイン力を活かしたサービスを提供しています。"
岡山製紙,製紙,2,2,4,2,5,https://okayamaseishi.co.jp/,"古紙を有効活用した板紙製品の製造を通じて環境負荷の低減に取り組み、高品質な製品を安定供給しています。"
天満屋ストア,小売,3,4,3,2,5,https://www.tenmaya-store.co.jp/,"地域密着型のスーパーマーケットを展開し、安全・安心な商品ときめ細かなサービスで地域の暮らしを支えています。"
岡山県貨物運送,物流,4,4,3,2,5,https://www.okakenunso.co.jp/,"全国規模の物流ネットワークを活かし、輸送から保管まで総合物流サービスを提供して企業活動を支えています。"
ウエスコホールディングス,建設コンサル,4,4,5,3,5,https://www.wesco.co.jp/,"測量・設計・地質調査など幅広い建設コンサルティングを手掛け、高い技術力で社会インフラの整備に貢献しています。"
チュチュアンナ,小売,3,4,3,4,4,https://www.chutcha.co.jp/,"靴下やインナーウェアを中心に企画・販売を行い、トレンドを取り入れた商品開発と店舗運営を強みとしています。"
イタミアート,製造・印刷,3,4,3,5,4,https://www.itamiarts.co.jp/,"のぼり旗や販促用品の企画・製造を一貫して行い、デザイン力と短納期対応で多様な顧客ニーズに応えています。"
タチエス,自動車,4,3,5,4,5,https://www.tachi-s.co.jp/,"高度な製造技術と品質管理を活かして精密部品の生産を行い、最先端のものづくりを支えています。"
パワーエレックス,電池,5,3,5,5,5,https://www.powerex.co.jp/,"産業用蓄電池や電源システムの開発・製造を通じて高性能なエネルギーソリューションを提供し、技術革新に挑戦しています。"

